sensor_14,sensor_11,sensor_16,sensor_17,sensor_9,sensor_3,sensor_15,sensor_4
8048.56,42.02,0.02,334,8341.91,1358.61,9.3461,1137.23
8072.3,42.2,0.02,330,8303.96,1353.22,9.3774,1125.78
7864.87,36.69,0.02,309,8001.42,1256.76,10.8941,1047.45
8068.66,41.96,0.02,329,8303.96,1354.03,9.3528,1126.38
7861.23,36.89,0.02,309,7993.23,1257.71,10.8963,1047.93
7868.87,36.78,0.02,306,7996.1,1266.38,10.8912,1048.72
8075.54,42.19,0.02,330,8307.75,1347.45,9.3753,1127.19
8049.26,44.27,0.02,365,8709.12,1481.69,9.2369,1252.36
8065.78,42.3,0.02,331,8312.33,1348.23,9.3878,1127.45
8069.11,42.02,0.02,329,8302.31,1356.4,9.3957,1127.11
8076.44,42.05,0.02,331,8301.22,1352.72,9.3871,1126.23
8121.09,47.34,0.03,393,9038.84,1585.52,8.3892,1402.63
8048.52,44.43,0.02,365,8710.39,1488.74,9.1968,1256.1
8070.37,42.11,0.02,330,8312.22,1352.69,9.3905,1121.2
8118.56,45.49,0.03,369,8765.1,1501.72,8.6079,1305.97
8053.94,41.74,0.02,332,8336.74,1362.41,9.3232,1126.95
7857.51,36.73,0.02,307,8005.82,1260.07,10.8616,1053.0
8052.73,41.98,0.02,334,8336.57,1365.15,9.3419,1135.62
8070.7,42.02,0.02,332,8300.02,1349.47,9.3798,1134.82
8047.01,44.43,0.02,366,8708.9,1482.44,9.2623,1255.75
8071.57,42.28,0.02,331,8303.44,1350.29,9.3824,1130.26
8069.93,42.01,0.02,330,8300.2,1352.73,9.3587,1129.43
8070.05,41.97,0.02,331,8300.28,1347.47,9.3398,1126.3
8069.53,42.03,0.02,332,8308.75,1352.82,9.3807,1127.92
8066.98,42.25,0.02,332,8306.69,1350.32,9.348,1122.44
8072.18,42.16,0.02,331,8308.9,1357.42,9.3704,1125.15
7859.12,36.77,0.02,308,7998.23,1263.21,10.9077,1048.03
8122.45,47.65,0.03,392,9037.52,1589.28,8.4871,1403.5
8121.25,47.33,0.03,390,9039.24,1599.79,8.4545,1415.68
8043.8,44.35,0.02,365,8713.7,1485.69,9.2372,1244.78
8117.91,45.41,0.03,368,8760.33,1504.85,8.6276,1310.94
8118.93,45.32,0.03,369,8763.76,1509.93,8.6558,1317.2
8126.15,47.61,0.03,393,9039.84,1583.81,8.4411,1404.98
8116.33,47.57,0.03,392,9036.68,1587.04,8.4196,1406.72
8114.43,45.48,0.03,368,8765.65,1504.23,8.6566,1306.63
7867.76,36.91,0.02,307,7998.94,1271.16,10.8817,1051.62
8109.56,45.41,0.03,369,8764.83,1500.86,8.6536,1311.0
7862.53,36.82,0.02,306,8003.33,1261.64,10.9054,1045.94
7865.11,36.57,0.02,307,7994.34,1267.66,10.9318,1057.66
8111.91,45.57,0.03,370,8770.13,1505.09,8.6373,1312.97
7862.39,36.95,0.02,307,7997.12,1261.81,10.8998,1048.78
8057.2,41.9,0.02,334,8335.88,1365.14,9.3769,1136.45
8070.12,41.95,0.02,331,8309.94,1350.28,9.3745,1127.59
8128.64,47.65,0.03,393,9037.76,1582.9,8.4635,1405.22
8051.91,41.91,0.02,334,8338.36,1370.22,9.3577,1129.04
8071.22,42.15,0.02,331,8309.66,1354.85,9.3717,1125.95
8115.46,45.52,0.03,371,8763.1,1500.08,8.6394,1309.65
8123.03,47.54,0.03,392,9037.94,1588.58,8.4318,1402.51
8068.7,42.11,0.02,330,8305.4,1354.55,9.3749,1132.5
8054.31,41.93,0.02,334,8335.17,1369.48,9.3186,1126.96
7863.73,36.63,0.02,306,7995.32,1263.03,10.8934,1051.85
8067.52,42.04,0.02,331,8298.45,1354.41,9.3789,1129.39
8114.12,45.29,0.03,371,8759.83,1501.82,8.6412,1311.23
8122.66,47.64,0.03,393,9034.62,1587.15,8.4297,1399.85
8120.28,47.52,0.03,392,9043.32,1587.27,8.5013,1404.67
8073.22,42.23,0.02,332,8304.33,1345.58,9.3868,1135.74
8048.96,44.4,0.02,365,8713.81,1486.48,9.2407,1255.67
8056.45,42.06,0.02,334,8334.28,1371.01,9.3193,1133.15
8064.02,42.2,0.02,330,8303.55,1352.92,9.368,1125.09
7864.81,36.74,0.02,308,7999.59,1262.69,10.8843,1047.52
8045.61,44.47,0.02,367,8707.14,1481.61,9.2412,1253.1
8117.75,47.54,0.03,392,9040.41,1591.46,8.4424,1405.31
8066.56,42.27,0.02,331,8311.01,1355.17,9.362,1123.54
